Record,Date,LOC Time,Articulo,Estado Camara,Estado Estampado,Comunicacion Chronos,Resultado,Estado Controles
       172, 8/20/2024,23:34:34,          0,1,0,1,1,1
       173, 8/20/2024,23:34:56,          0,1,0,0,1,1
       174, 8/20/2024,23:39:04,          0,1,0,1,1,1
       175, 8/20/2024,23:39:15,          0,1,0,0,1,1
       176, 8/20/2024,23:43:15,          0,1,0,1,1,1
       177, 8/20/2024,23:43:29,          0,1,1,0,1,1
       178, 8/20/2024,23:46:25,          0,1,0,1,1,1
       179, 8/20/2024,23:46:44,          0,1,1,0,1,1
       180, 8/20/2024,23:52:42,          0,1,1,0,0,1
       181, 8/20/2024,23:52:53,          0,1,1,0,0,1
       182, 8/20/2024,23:54:57,          0,1,0,0,0,1
       183, 8/20/2024,23:55:09,          0,1,1,0,0,1
       184, 8/20/2024,23:57:42,          0,1,0,1,1,1
       185, 8/20/2024,23:58:09,          0,1,1,0,1,1
       186, 8/21/2024, 0:00:02,          0,1,0,0,0,1
       187, 8/21/2024, 0:00:11,          0,1,1,0,0,1
       188, 8/21/2024, 0:02:18,          0,1,0,1,1,1
       189, 8/21/2024, 0:02:25,          0,1,1,0,1,1
       190, 8/21/2024, 0:05:06,          0,1,0,1,1,1
       191, 8/21/2024, 0:05:20,          0,1,1,0,1,1
       192, 8/21/2024, 0:07:45,          0,1,0,1,1,1
       193, 8/21/2024, 0:07:57,          0,1,1,0,1,1
       194, 8/21/2024, 0:16:06,          0,1,0,1,1,1
       195, 8/21/2024, 0:16:19,          0,1,0,0,1,1
       196, 8/21/2024, 0:19:03,          0,1,0,1,1,1
       197, 8/21/2024, 0:19:17,          0,1,0,0,1,1
       198, 8/21/2024, 0:29:11,          0,1,0,1,1,1
       199, 8/21/2024, 0:29:24,          0,1,1,0,1,1
       200, 8/21/2024, 0:31:10,          0,1,0,0,0,1
       201, 8/21/2024, 0:31:22,          0,1,1,0,0,1
       202, 8/21/2024, 0:45:19,          0,1,0,1,1,1
       203, 8/21/2024, 0:51:46,          0,1,0,0,0,1
       204, 8/21/2024, 0:51:59,          0,1,1,0,0,1
       205, 8/21/2024, 0:54:28,          0,1,0,1,1,1
       206, 8/21/2024, 0:54:39,          0,1,1,0,1,1
       207, 8/21/2024, 0:56:42,          0,1,0,0,0,1
       208, 8/21/2024, 0:56:52,          0,1,1,0,0,1
       209, 8/21/2024, 0:59:42,          0,1,0,1,1,1
       210, 8/21/2024, 0:59:58,          0,1,1,0,1,1
       211, 8/21/2024, 1:01:59,          0,1,0,1,1,1
       212, 8/21/2024, 1:02:17,          0,1,1,0,1,1
       213, 8/21/2024, 1:04:12,          0,1,0,1,1,1
       214, 8/21/2024, 1:04:20,          0,1,0,0,1,1
